in_swcid,in_voltage,in_time,out_swcid,out_voltage,out_time,type,instance
9082,0.06279626123112043,1.4280000000000004,13018,0.020405468096972797,5.127999999999998,LAL010,LAL010_R
1243,0.2101580912909025,1.3280000000000003,13018,0.019144019388208342,5.627999999999997,LAL010,LAL010_R
22786,0.2480114426505677,1.1280000000000001,13018,0.023838706199858593,4.2280000000000015,LAL010,LAL010_R
3930,0.19807461717930583,1.2280000000000002,13018,0.019449160144578814,5.427999999999997,LAL010,LAL010_R
4008,0.20523006938181743,1.2280000000000002,13018,0.019526243866291138,5.427999999999997,LAL010,LAL010_R
26932,0.42452088613787536,1.1280000000000001,13018,0.020485674875516807,5.027999999999999,LAL010,LAL010_R
25667,0.413932740177221,1.1280000000000001,13018,0.02067094751190913,5.027999999999999,LAL010,LAL010_R
5074,0.32561587910153844,1.1280000000000001,13018,0.020101799315531757,5.127999999999998,LAL010,LAL010_R
6158,0.24784152197284667,1.1280000000000001,13018,0.0199887206906188,5.227999999999998,LAL010,LAL010_R
3422,0.46916427846847303,1.2280000000000002,13018,0.019231237359990733,5.527999999999997,LAL010,LAL010_R
21075,0.3417897113508814,1.1280000000000001,13018,0.023829737738522636,4.2280000000000015,LAL010,LAL010_R
11276,0.5577052985586823,1.1280000000000001,13018,0.02408519608016018,4.028000000000002,LAL010,LAL010_R
8995,0.08637010339642709,1.2280000000000002,13018,0.02037536140193964,5.127999999999998,LAL010,LAL010_R
19773,0.3513680081380991,1.1280000000000001,13018,0.02355715037860888,4.328000000000001,LAL010,LAL010_R
3457,0.4895124057269685,1.2280000000000002,13018,0.01922349719899066,5.527999999999997,LAL010,LAL010_R
22844,0.315977191687288,1.1280000000000001,13018,0.023808815109418995,4.2280000000000015,LAL010,LAL010_R
4826,0.37076907665594827,1.1280000000000001,13018,0.019731028085946886,5.327999999999998,LAL010,LAL010_R
9248,0.09571497378933914,1.2280000000000002,13018,0.020463339514861126,5.127999999999998,LAL010,LAL010_R
25157,0.07898778500392419,1.2280000000000002,13018,0.02442795012015457,4.028000000000002,LAL010,LAL010_R
4605,0.650696993565593,1.1280000000000001,13018,0.019436540181699973,5.427999999999997,LAL010,LAL010_R
19807,0.34948462834355215,1.1280000000000001,13018,0.023571105001206065,4.2280000000000015,LAL010,LAL010_R
27581,0.2171985767127578,1.2280000000000002,13018,0.020497981069647214,5.127999999999998,LAL010,LAL010_R
11364,0.1570888252935357,1.2280000000000002,13018,0.024303122936808124,4.028000000000002,LAL010,LAL010_R
22787,0.2523948694652587,1.1280000000000001,13018,0.023836409794276637,4.2280000000000015,LAL010,LAL010_R
25235,0.039545699331115326,1.9280000000000008,13018,0.02448882078933627,4.028000000000002,LAL010,LAL010_R
25255,0.03828600754458715,2.028000000000001,13018,0.02449331160284372,4.028000000000002,LAL010,LAL010_R
548,0.31021095459701675,1.1280000000000001,13018,0.01980722584554059,5.327999999999998,LAL010,LAL010_R
20978,0.1640338468247059,1.2280000000000002,13018,0.023935554595050455,4.2280000000000015,LAL010,LAL010_R
11471,0.11624037223758403,1.2280000000000002,13018,0.024355437623893333,4.028000000000002,LAL010,LAL010_R
26976,0.18087837219847663,1.1280000000000001,13018,0.020612869369935595,5.027999999999999,LAL010,LAL010_R
1834,0.46169472330834394,1.1280000000000001,13018,0.01911895509541598,5.527999999999997,LAL010,LAL010_R
26893,0.4383651143990621,1.1280000000000001,13018,0.020460014767145377,5.027999999999999,LAL010,LAL010_R
27578,0.19188382511013696,1.2280000000000002,13018,0.020516243480871665,5.127999999999998,LAL010,LAL010_R
3170,0.09175084142651603,1.5280000000000005,13018,0.019353249281847604,5.527999999999997,LAL010,LAL010_R
11470,0.10465112213542085,1.2280000000000002,13018,0.024361512112798113,4.028000000000002,LAL010,LAL010_R
3937,0.07959195361025469,1.5280000000000005,13018,0.019588074277460447,5.427999999999997,LAL010,LAL010_R
19581,0.21982900503296543,1.2280000000000002,13018,0.02354947960080874,4.328000000000001,LAL010,LAL010_R
990,0.15012321462113512,1.1280000000000001,13018,0.020117829771957512,5.227999999999998,LAL010,LAL010_R
18316,0.2059531612026339,1.2280000000000002,13018,0.023109938072438774,4.428000000000001,LAL010,LAL010_R
25664,0.3567362015195238,1.1280000000000001,13018,0.020696293300475423,5.027999999999999,LAL010,LAL010_R
6377,0.23906380655708112,1.1280000000000001,13018,0.020204030061946814,5.127999999999998,LAL010,LAL010_R
3850,0.34800705351311545,1.2280000000000002,13018,0.019329186144584825,5.527999999999997,LAL010,LAL010_R
20406,0.11477587437044016,1.2280000000000002,13018,0.023969020317720913,4.2280000000000015,LAL010,LAL010_R
20020,0.19506649932437659,1.2280000000000002,13018,0.0235416726767813,4.328000000000001,LAL010,LAL010_R
1644,0.1088214000512336,1.4280000000000004,13018,0.019313809404708112,5.527999999999997,LAL010,LAL010_R
20458,0.08057718289174128,1.2280000000000002,13018,0.024000099978195463,4.128000000000002,LAL010,LAL010_R
3596,0.07850682453951435,1.5280000000000005,13018,0.019578645349728738,5.427999999999997,LAL010,LAL010_R
4206,0.5830391957448673,1.2280000000000002,13018,0.019359055570326827,5.427999999999997,LAL010,LAL010_R
3436,0.57535694015313,1.2280000000000002,13018,0.01918361223617256,5.527999999999997,LAL010,LAL010_R
19551,0.2048665498751479,1.2280000000000002,13018,0.023549185085169434,4.328000000000001,LAL010,LAL010_R
4523,0.1512297044718865,1.3280000000000003,13018,0.019668119403135585,5.427999999999997,LAL010,LAL010_R
25717,0.14430040643504252,1.1280000000000001,13018,0.020808708846397524,5.027999999999999,LAL010,LAL010_R
19992,0.2777382446461119,1.2280000000000002,13018,0.023493863738059742,4.328000000000001,LAL010,LAL010_R
19771,0.30987416197051376,1.1280000000000001,13018,0.023577779850756597,4.328000000000001,LAL010,LAL010_R
26940,0.2764116849038983,1.1280000000000001,13018,0.020551368370300097,5.027999999999999,LAL010,LAL010_R
1172,0.6514451058296323,1.2280000000000002,13018,0.01884443298180873,5.627999999999997,LAL010,LAL010_R
902,0.046686430804312555,1.8280000000000007,13018,0.020101828198932605,5.227999999999998,LAL010,LAL010_R
8936,0.09873269931500386,1.2280000000000002,13018,0.020366877213102902,5.127999999999998,LAL010,LAL010_R
19767,0.291018190866826,1.1280000000000001,13018,0.02358716321134742,4.328000000000001,LAL010,LAL010_R
27632,0.2305430037312467,1.2280000000000002,13018,0.020490543572884164,5.127999999999998,LAL010,LAL010_R
4176,0.2567266244944347,1.3280000000000003,13018,0.019512082354689944,5.427999999999997,LAL010,LAL010_R
8567,0.17715018042090966,1.2280000000000002,13018,0.020246155673374296,5.127999999999998,LAL010,LAL010_R
2160,0.2637529935801814,1.1280000000000001,13018,0.019329625949942857,5.527999999999997,LAL010,LAL010_R
8571,0.23037706037182337,1.1280000000000001,13018,0.020220733850380174,5.127999999999998,LAL010,LAL010_R
11671,0.22955123978767863,1.1280000000000001,13018,0.024344232222516648,4.028000000000002,LAL010,LAL010_R
25228,0.23591308402498587,1.1280000000000001,13018,0.024307621994806825,4.028000000000002,LAL010,LAL010_R
20034,0.18062323043992212,1.2280000000000002,13018,0.02354991583028116,4.328000000000001,LAL010,LAL010_R
20545,0.4183017696357889,1.1280000000000001,13018,0.023778889625828862,4.2280000000000015,LAL010,LAL010_R
10818,0.2167588735068655,1.1280000000000001,13018,0.024401289707964523,3.9280000000000026,LAL010,LAL010_R
11256,0.22901497382877467,1.1280000000000001,13018,0.02426829832434098,4.028000000000002,LAL010,LAL010_R
27628,0.34606659135933193,1.1280000000000001,13018,0.020438604630342135,5.127999999999998,LAL010,LAL010_R
26941,0.29163214148967714,1.1280000000000001,13018,0.020544825677654817,5.027999999999999,LAL010,LAL010_R
100,0.4618485051191057,1.2280000000000002,13018,0.019366332570088587,5.427999999999997,LAL010,LAL010_R
18665,0.12075730532218468,1.4280000000000004,13018,0.023175713823640937,4.428000000000001,LAL010,LAL010_R
14086,0.037576219385351564,1.9280000000000008,13018,0.02629372333456292,3.5280000000000022,LAL010,LAL010_R
18741,0.1221134687176109,1.4280000000000004,13018,0.023177483083844062,4.428000000000001,LAL010,LAL010_R
17277,0.22987103045647395,1.1280000000000001,13018,0.024832823439769846,3.9280000000000026,LAL010,LAL010_R
21084,0.21586222446637093,1.2280000000000002,13018,0.023910622987342645,4.2280000000000015,LAL010,LAL010_R
23863,0.08680568128763107,1.2280000000000002,13018,0.02422955268885232,4.128000000000002,LAL010,LAL010_R
4525,0.1803517959757901,1.3280000000000003,13018,0.019655616888817718,5.427999999999997,LAL010,LAL010_R
17280,0.22542570347821564,1.1280000000000001,13018,0.024835247212961473,3.9280000000000026,LAL010,LAL010_R
19068,0.5744667518066231,1.1280000000000001,13018,0.022947226715164085,4.428000000000001,LAL010,LAL010_R
19927,0.3239544980591189,1.1280000000000001,13018,0.02346674567008674,4.328000000000001,LAL010,LAL010_R
6374,0.2118075218586906,1.1280000000000001,13018,0.020216600928019735,5.127999999999998,LAL010,LAL010_R
8541,0.18250298280311986,1.2280000000000002,13018,0.02023995281128491,5.127999999999998,LAL010,LAL010_R
25665,0.3781736325948497,1.1280000000000001,13018,0.020686756793331703,5.027999999999999,LAL010,LAL010_R
23893,0.3772184226405571,1.1280000000000001,13018,0.024061441883583393,4.128000000000002,LAL010,LAL010_R
11034,0.23829796762491517,1.2280000000000002,13018,0.02405470475142088,4.128000000000002,LAL010,LAL010_R
19263,0.3017915556287325,1.1280000000000001,13018,0.023359152842973362,4.328000000000001,LAL010,LAL010_R
11266,0.3850388249608526,1.1280000000000001,13018,0.024175372796146958,4.028000000000002,LAL010,LAL010_R
