in_swcid,in_voltage,in_time,out_swcid,out_voltage,out_time,type,instance
4670,0.1983191702414727,1.2280000000000002,13018,0.0196850157431405,5.327999999999998,PFL3,PFL3(PB12c)_L1_C3
4611,0.6089327189327417,1.1280000000000001,13018,0.019454962266376982,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
3480,0.26534266274850604,1.2280000000000002,13018,0.01939408153835144,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
4672,0.22737136566065114,1.2280000000000002,13018,0.01967278107219457,5.327999999999998,PFL3,PFL3(PB12c)_L1_C3
3534,0.8360047592209283,1.1280000000000001,13018,0.019153174582394367,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
4593,0.5613571784362577,1.2280000000000002,13018,0.019474908487268208,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
4557,0.16057469065031665,1.2280000000000002,13018,0.019711207586688793,5.327999999999998,PFL3,PFL3(PB12c)_L1_C3
2049,0.993186998331021,1.2280000000000002,13018,0.01885073778682283,5.527999999999997,PFL3,PFL3(PB12c)_L1_C3
4636,0.7337773474813558,1.1280000000000001,13018,0.01940339237001629,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
2041,0.8846830989138387,1.2280000000000002,13018,0.018896675827581557,5.527999999999997,PFL3,PFL3(PB12c)_L1_C3
1503,0.2848388006100915,1.2280000000000002,13018,0.019102228144270605,5.627999999999997,PFL3,PFL3(PB12c)_L6_C8
1499,0.23504729394199478,1.2280000000000002,13018,0.01912919318369609,5.627999999999997,PFL3,PFL3(PB12c)_L6_C8
1419,0.5918725953678032,1.1280000000000001,13018,0.018932428777099806,5.627999999999997,PFL3,PFL3(PB12c)_L6_C8
69,0.6369071497253962,1.1280000000000001,13018,0.019283439141956238,5.427999999999997,PFL3,PFL3(PB12c)_L6_C8
3408,0.3466236331660164,1.2280000000000002,13018,0.019311137184675527,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
1399,0.6905196567774942,1.1280000000000001,13018,0.018889995198367957,5.627999999999997,PFL3,PFL3(PB12c)_L6_C8
