in_swcid	in_voltage	in_time	out_swcid	out_voltage	out_time
4462	0.24090693117719533	1.2280000000000002	13018	0.019565595194187286	5.427999999999997
3762	0.49666961906664786	1.1280000000000001	13018	0.019246985391783954	5.527999999999997
2030	0.7485225795054102	1.2280000000000002	13018	0.01896395271573238	5.527999999999997
1474	0.3588134712147354	1.2280000000000002	13018	0.01906692652185146	5.627999999999997
1580	0.3766509784726376	1.2280000000000002	13018	0.019070972597814952	5.627999999999997
1386	0.4332324372923936	1.2280000000000002	13018	0.019000671584156394	5.627999999999997
1596	0.399055650824245	1.1280000000000001	13018	0.019062594683911083	5.627999999999997
1440	0.31285210030416627	1.2280000000000002	13018	0.019067750995104056	5.627999999999997
4646	0.622691635277095	1.1280000000000001	13018	0.019450280273421803	5.427999999999997
4667	0.3776687882582379	1.1280000000000001	13018	0.01958884275356743	5.327999999999998
2	0.4868510268506503	1.2280000000000002	13018	0.019255897638528672	5.527999999999997
3869	0.6360292124792521	1.1280000000000001	13018	0.01920332563273359	5.527999999999997
3813	0.4383623996774001	1.2280000000000002	13018	0.01926969815279441	5.527999999999997
1518	0.4616734670537734	1.2280000000000002	13018	0.01901228708567875	5.627999999999997
2023	0.6526517422410388	1.2280000000000002	13018	0.019014003204597806	5.527999999999997
4635	0.7079157133375079	1.1280000000000001	13018	0.019414078365312663	5.427999999999997
1556	0.6005211185867734	1.1280000000000001	13018	0.018953047822911157	5.627999999999997
3388	0.19880801732103434	1.2280000000000002	13018	0.01943084846992936	5.427999999999997
3398	0.2761362110041857	1.2280000000000002	13018	0.01936328712377999	5.527999999999997
4650	0.5791302775142692	1.1280000000000001	13018	0.019469134764185343	5.427999999999997
4659	0.3402936409060554	1.2280000000000002	13018	0.01960213856887626	5.327999999999998
1487	0.2435171554456675	1.2280000000000002	13018	0.01913344601740561	5.627999999999997
2035	0.8237274501298458	1.2280000000000002	13018	0.018925441113067397	5.527999999999997
1579	0.36900371208501037	1.2280000000000002	13018	0.019074316442968	5.627999999999997
4617	0.5295006510107825	1.2280000000000002	13018	0.01949382148196216	5.427999999999997
4615	0.6647155936209923	1.1280000000000001	13018	0.01943208989093687	5.427999999999997
4470	0.3143984356824871	1.2280000000000002	13018	0.019528614540206726	5.427999999999997
4638	0.7697938226742507	1.1280000000000001	13018	0.019388605399677142	5.427999999999997
